AcresBurned,Active,AdminUnit,AirTankers,ArchiveYear,CalFireIncident,CanonicalUrl,ConditionStatement,ControlStatement,Counties,CountyIds,CrewsInvolved,Dozers,Engines,Extinguished,Fatalities,Featured,Final,FuelType,Helicopters,Injuries,Latitude,Location,Longitude,MajorIncident,Name,PercentContained,PersonnelInvolved,Public,SearchDescription,SearchKeywords,Started,Status,StructuresDamaged,StructuresDestroyed,StructuresEvacuated,StructuresThreatened,WaterTenders
8073,FALSE,CAL FIRE Shasta-Trinity Unit,,2013,TRUE,/incidents/2013/9/9/clover-fire/,"California Incident Management Team 5 will transition the Clover incident back to the Shasta-Trinity Unit this afternoon.
<p>All evacuations and road closures have been lifted. Remaining firefighters continue to mop up and patrol the fire perimeter while fire suppression repair and rehabilitation continues. Demobilization of firefighting resources continues.",,Shasta,45,12,3,30,2013-09-15T07:30:00Z,,FALSE,TRUE,,,6,40.498332,"Community of Igo, 10 miles southwest of Redding",-122.535496,TRUE,Clover Fire,100,342,TRUE,"The Clover Fire burned September 2013 near the community of Igo, 10 miles southwest of Redding, in Shasta County.","Clover Fire, September 2013, Shasta County, Igo, Redding",2013-09-09T12:32:00Z,Finalized,10,201,,,
7055,FALSE,CAL FIRE San Diego Unit / Cleveland National Forest,,2013,TRUE,/incidents/2013/7/6/chariot-fire/,,,San Diego,37,56,24,183,2013-07-15T06:15:00Z,,FALSE,TRUE,,9,12,32.95435,"off Sunrise Hwy, 9 miles southeast of Julian",-116.47381,TRUE,Chariot Fire,100,2147,TRUE,"Chariot Fire burned in July 2013 off Sunrise Hwy, 9 miles southeast of Julian in San Diego County. ","Chariot Fire, July 2013, Sunrise Hwy, Julian, San Diego County",2013-07-06T12:55:00Z,Finalized,9,149,,,24
6965,FALSE,CAL FIRE Butte Unit,,2013,TRUE,/incidents/2013/5/1/panther-fire/,"Firefighters continue to mop up within the fire area and improve the perimeter containment
lines for the next few days. However isolated pockets of downed heavy fuels, timber slash piles and dead trees, remain hot and are hampering mop-up operations. The Butte unit assuming control of fire at 0800 5/9/13.

<p>Road Closures: Unstable road surfaces due to the rain are impeding resource traffic and are becoming a dangerous situation. Therefore the L Line has been closed to all traffic. Because of this dangerous situation we ask that all remain out of the fire area except for fire personnel. The area between Highway 32 and Highway 36
known as the Deer Creek and Mill Creek recreation Area as well as the Ishi Wilderness are closed to the public. Highway 32 and Highway 36 will remain open but be aware of the heavy fire equipment traffic on those highways throughout the day.
<p>Additional Information: Sections of the fire have moved into fire suppression repairstages. More than 80
local government agencies have assisted with the suppression of this fire. Every Year the first full week of May is proclaimed “Wildfire Awareness Week”. This will serve as the final fact sheet for the incident.",,Tehama,52,53,22,131,2013-05-09T09:00:00Z,,FALSE,TRUE,,6,6,40.190062,"140K3 Line, 8 miles northwest of Butte Meadows",-121.595555,TRUE,Panther Fire,100,1811,TRUE,"The Panther Fire burned in May 2013, off the 140K3 Line, 8 miles northwest of Butte Meadows in Butte County. ","Panther Fire, May 2013, Butte Meadows, Butte County",2013-05-01T09:12:00Z,Finalized,,,,,40
4346,FALSE,CAL FIRE / USFS Los Padres National Forest,,2013,TRUE,/incidents/2013/5/15/grand-fire/,"<p>Little to no fire behavior has been observed, however there are still isolated hot spots in the area requiring extinguishment and continued monitoring. Smoke could be visible for the next several weeks.  Demobilization will continue as needed through the remainder of the week.  </p>

<p>Road Closures:  Hungry Valley State Park and Gold Hill Road are scheduled to be reopened on 5/22/2013 during daylight hours.  Frazier Mtn. Road will remain closed until 5/24/2013.</p>",,Kern,"15,56",29,1,34,2013-05-21T19:45:00Z,,FALSE,TRUE,,1,4,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,TRUE,Grand Fire,100,847,TRUE,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ","Grand Fire, May 2013, Frazier Mountain Park, USFS Los Padres National Forest, Kern County, Ventura County",2013-05-15T12:50:00Z,Finalized,,,,,12
4346,FALSE,CAL FIRE / USFS Los Padres National Forest,,2013,TRUE,/incidents/2013/5/15/grand-fire/,"<p>Little to no fire behavior has been observed, however there are still isolated hot spots in the area requiring extinguishment and continued monitoring. Smoke could be visible for the next several weeks.  Demobilization will continue as needed through the remainder of the week.  </p>

<p>Road Closures:  Hungry Valley State Park and Gold Hill Road are scheduled to be reopened on 5/22/2013 during daylight hours.  Frazier Mtn. Road will remain closed until 5/24/2013.</p>",,Ventura,"15,56",29,1,34,2013-05-21T19:45:00Z,,FALSE,TRUE,,1,4,34.7861,"South of Frazier Mountain Park Rd, South of Frazier Park",-118.9411,TRUE,Grand Fire,100,847,TRUE,"The Grand Fire burned in May 2013, South of Frazier Mountain Park Rd, South of Frazier Park on the USFS Los Padres National Forest in Kern and Ventura County. ","Grand Fire, May 2013, Frazier Mountain Park, USFS Los Padres National Forest, Kern County, Ventura County",2013-05-15T12:50:00Z,Finalized,,,,,12
3505,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,/incidents/2013/11/22/mccabe-fire/,Demobilization of equipment will continue.  We ask that the public drive cautiously as there will be a large amount of fire equipment on the surrounding roadways.,,Sonoma,49,8,,5,2013-11-27T18:15:00Z,,FALSE,TRUE,,,6,38.8167,"The Geysers area, 10 miles northeast of Geyserville",-122.8498,TRUE,McCabe Fire,100,188,TRUE,"The McCabe Fire is burning in The Geysers area, east of Cloverdale, Sonoma County.","The Geysers area, Cloverdale, Sonoma County, McCabe Fire, November 2013",2013-11-22T02:04:00Z,Finalized,,1,,,
3166,FALSE,CAL FIRE/Riverside County Fire ,,2013,TRUE,/incidents/2013/5/1/summit-fire/,Crews are containing the mop up in the area.,,Riverside,33,36,5,62,2013-05-04T18:30:00Z,,FALSE,TRUE,,5,2,34.288877,Mias Canyon and Bluff Road in Banning,-116.941311,TRUE,Summit Fire,100,726,TRUE,The Summit Fire burned in May 2013 near Mias Canyon and Bluff Road in Banning in Riverside County. ,"Summit Fire, May 2013, Mias Canyon, Banning, Riverside County.",2013-05-01T12:38:00Z,Finalized,,1,,,7
3111,FALSE,CAL FIRE Santa-Clara Unit,,2013,TRUE,/incidents/2013/9/8/morgan-fire/,Firefighters will continue mopping up inside the fire containment lines as well as performing suppression repair. Demobilization of resources continuing. Fire resources are still in the communities so residents need to be aware and use caution when driving in the fire area.,,Contra Costa,7,8,5,3,2013-09-14T17:30:00Z,,FALSE,TRUE,,,,37.90757,"off Morgan Territory Road, Southeast of Clayton",-121.882582,TRUE,Morgan Fire,100,231,TRUE,"The Morgan Fire burned September 2013 off of Morgan Territory Road, southeast of Clayton, in Contra Costa County.","Morgan Fire, September 2013, Contra Costa County, Morgan Territory Road, Clayton",2013-09-08T13:08:00Z,Finalized,,,,,4
2781,FALSE,CAL FIRE San Diego Unit,25,2013,TRUE,/incidents/2013/5/23/san-felipe-fire/,,,San Diego,37,33,25,73,2013-05-26T17:45:00Z,,FALSE,TRUE,,25,5,33.12111,"San Felipe Road, north of Highway 78, East of Julian",-116.52579,TRUE,San Felipe Fire,100,911,TRUE,"The San Felipe Fire burned in May 2013, off San Felipe Road, north of Highway 78, East of Julian in San Diego County. ","San Felipe Fire, May 2013, Highway 78, Julian, San Diego County",2013-05-23T12:20:00Z,Finalized,,,,,26
2462,FALSE,CAL FIRE Butte Unit,,2013,TRUE,/incidents/2013/8/16/swedes-fire/,Firefighters are continuing to strengthen existing containment lines and mop up hot spots within the fire area. Islands of unburned vegetation within the fire perimeter will be burning over the next few days and smoke from such may drift and settle in the valley areas. We ask that the citizens living in the areas affected by the fire be aware of the fire resources still working in the area and to drive safely. Be aware that fire suppression repair crews will be working in the area over the next few days. A Red Flag Warning remains in effect throughout the day for dry lightning storms that have moved into the area.,,Butte,4,33,28,95,2013-08-22T18:00:00Z,,FALSE,TRUE,,20,5,39.446268,southeast of Oroville,-121.38236,TRUE,Swedes Fire,100,1484,TRUE,The Swedes Fire burned in August 2013 southeast of Oroville in Butte County. ,"Swedes Fire, August 2013, southeast of Oroville, Butte County",2013-08-16T16:37:00Z,Finalized,,7,,,25
2236,FALSE,Camp Pendleton Marine Corps Base,,2013,FALSE,/incidents/2013/10/5/deluz-fire/,,,San Diego,37,,,,2013-10-09T19:00:00Z,,FALSE,TRUE,,,,33.341,"On Camp Pendleton, west of Fallbrook",-117.3092,FALSE,DeLuz Fire,100,,TRUE,"The DeLuz Fire burned 2,236 acres in October 2013 on Camp Pendleton Marine Corps Base, east of Fallbrook in San Diego County,","Camp Pendleton Marine Corps Base, Fallbrook, San Diego County, October 2013, DeLuz Fire",2013-10-05T12:45:00Z,Finalized,,,,,
2060,FALSE,Sequoia National Forest,,2013,FALSE,/incidents/2013/8/24/fish-fire/,,,Tulare,54,,,,2013-09-24T20:15:00Z,,FALSE,TRUE,,,,36.208,Golden Trout Wilderness on the Sequoia National Forest.,-118.444,FALSE,Fish Fire,100,,TRUE,The Fish Fire burned August 2013 in the Golden Trout Wilderness on the Sequoia National Forest in Tulare County.,"Fish Fire, August 2013, September 2013, Golden Trout Wilderness, Sequoia National Forest, Tulare County",2013-08-24T14:31:00Z,Finalized,,,,,
1984,FALSE,USFS Los Padres National Forest,,2013,FALSE,/incidents/2013/5/27/white-fire/,,,Santa Barbara,42,,,,2013-05-30T19:30:00Z,,FALSE,TRUE,,,,34.55048,"Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez",-119.82429,FALSE,White Fire,100,,TRUE,"The White Fire burned in May 2013, Southeast of Lake Cachuma, approx. 12 miles southeast of Santa Ynez on the Los Padres National Forest in Santa Barbara County. ","White Fire, May 2013, Lake Cachuma, Santa Ynez, Los Padres National Forest, Santa Barbara County",2013-05-27T14:45:00Z,Finalized,,,,,
1708,FALSE,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,,2013,TRUE,/incidents/2013/6/16/carstens-fire/,"<p>Firefighters continue to mop up and patrol for hot spots. Fire suppression rehabilitation to repair damage from fire line construction will be implemented. Road damage is being repaired from heavy firefighting traffic. Please drive slowly and allow large fire equipment to pass.
<p>The Natural Resources Conservation Service is available to assist private landowners with rehabilitating property affected by the fire. Fore more information, contact: 209-966-3431, or: www.ca.nrcs.usda.gov.",,Mariposa,22,2,,,2013-06-26T11:15:00Z,,FALSE,TRUE,,,1,37.58202,"Off Carstens Road, east of 140 in the Midpines area.",-119.91071,TRUE,Carstens Fire,100,112,TRUE,"The Carstens Fire started in June 2013 off Carstens Road, east of 140 in the Midpines area in Mariposa County.","Carstens Fire, June 2013, Midpines, Mariposa County, Carstens Road",2013-06-16T14:12:00Z,Finalized,,,,,4
1383,FALSE,Cleveland National Forest / CAL FIRE Riverside Unit,,2013,TRUE,/incidents/2013/8/5/falls-fire/,,,Riverside,"33,",,,,2013-08-09T18:45:00Z,,FALSE,TRUE,,,,33.62236,"Ortega Highway, west of Lake Elsinoire",-117.40288,FALSE,Falls Fire,100,,TRUE,"The Falls Fire burned in August 2013 near Oretga Highway, west of Lake Elsinoire on the Cleveland National Forest in Riverisde County. ","Falls Fire, August 2013, Oretga Highway, Lake Elsinoire, Riverside County, Cleveland National Forest",2013-08-05T10:10:00Z,Finalized,,,,,
1271,FALSE,CAL FIRE San Diego Unit,27,2013,TRUE,/incidents/2013/5/26/general-fire/,"The fire is burning East towards the desert and away from homes.
",,San Diego,37,54,27,42,2013-05-31T06:15:00Z,,FALSE,TRUE,,27,6,33.04458,"Banner Grade area, south of Hwy 78 & east of Hwy 79, southeast of Julian",-116.5209,TRUE,General Fire,100,1217,TRUE,"The General Fire burned in May 2013, in the Banner Grade area south of Highway 78 and east of Highway 79, in San Diego County.","General Fire, May 2013, San Diego County, Banner Grade, Highway 78, Highway 79, Julian",2013-05-26T12:04:00Z,Finalized,,,,,27
1070,FALSE,Stanislaus National Forest,,2013,FALSE,/incidents/2013/8/5/power-fire/,,,Tuolumne,55,,,,2013-08-14T08:30:00Z,,FALSE,TRUE,,,,38.25108,"Near Beardsley Lake, northeast of Sonora",-120.02778,FALSE,Power Fire,100,,TRUE,"The Power Fire burned in August 2013 near Beardsley Lake, northeast of Sonora on the Stanislaus National Forest in Tuolumne County. ","Power Fire, August 2013, Beardsley Lake, Sonora, Stanislaus National Forest, Tuolumne County",2013-08-05T06:00:00Z,Finalized,,,,,
917,FALSE,Los Padres National Forest / CAL FIRE San Benito-Monterey Unit,,2013,FALSE,/incidents/2013/12/16/pfeiffer-fire/,,,Monterey,27,,,,2013-12-20T20:00:00Z,,FALSE,TRUE,,,,0,Pfeiffer Ridge Road and Highway 1 near Big Sur,0,FALSE,Pfeiffer Fire,100,,TRUE,The Pfeiffer Fire off Pfeiffer Ridge Road and Highway 1 near Big Sur was 917 acres.,"Pfeiffer Fire, Pfeiffer, Big Sur, Highway 1, Pfeiffer Ridge Road, BEU",2013-12-16T00:20:00Z,Finalized,,,,,
794,FALSE,Sequoia National Forest,,2013,FALSE,/incidents/2013/8/18/shirley-fire/,,,Kern,15,,,,2013-08-24T13:45:00Z,,FALSE,TRUE,,,,35.707,Lower Kern River Canyon area off Highway 178,-118.588,FALSE,Shirley Fire,100,,TRUE,The Shirley Fire burned in August 2013 off Lower Kern River Canyon area off Highway 178 on Sequoia National Forest in Kern County. ,"Shirley Fire, August 2013, Lower Kern River Canyon, Highway 178, Sequoia National Forest, Kern County",2013-08-18T23:12:00Z,Finalized,,,,,
712,FALSE,CAL FIRE / Kern County Fire / State Parks / US Forest Service,,2013,TRUE,/incidents/2013/7/19/rancho-fire/,"Last night crews continued to patrol the lines. Late night precipitation assisted in
containment efforts with potential for more today. Today crews continued mopping up 100 plus feet into the perimeter as well continue rehab efforts. Additional thunderstorm activity is occurring nearby. A transition from the current Type 3 management team to a Type 4 team is expected for tomorrow. I5 open.
<p>The evacuation center will be located at Gorman School at 49847 Gorman School Rd.",Oak Knolls Road,Kern,15,20,20,37,2013-07-22T18:45:00Z,,FALSE,TRUE,,20,5,34.882,West side of Interstate 5 in Lebec (Kern County),-118.9194,TRUE,Rancho Fire,100,502,TRUE,"The Rancho Fire burned July 2013 west of I-5 in Lebec, in Kern County.","Rancho Fire, July 2013, Kern County, Lebec, I-5",2013-07-19T12:00:00Z,Finalized,,,,,20
712,FALSE,CAL FIRE/Los Angeles County ,,2013,TRUE,/incidents/2013/5/17/lake-fire/,,,Los Angeles,19,,,,2013-05-18T19:00:00Z,,FALSE,TRUE,,,,34.49149,I-5 Southbound at Lake Hughes Road,-118.610044,FALSE,Lake Fire,100,,TRUE,"The Lake Fire burned in May 2013 off I-5 Southbound at Lake Hughes Road, in Los Angeles County. ","Lake Fire, Los Angeles County, I-5 Southbound, Lake Hughes Road, May 2013",2013-05-17T13:23:00Z,Finalized,,,,,
612,FALSE,Kern County Fire,,2013,TRUE,/incidents/2013/7/23/water-fire/,,,Kern,15,,,,2013-07-25T18:30:00Z,,FALSE,TRUE,,,,34.90327,West side of Interstate 5 at Tejon Ranch,-118.93388,FALSE,Water Fire,100,,TRUE,The Water Fire burned in July 2013 on the west side of Interstate 5 at Tejon Ranch in Kern County. ,"Water Fire, July 2013, West side of Interstate 5, Tejon Ranch, Kern County",2013-07-23T09:15:00Z,Finalized,,,,,
572,FALSE,Eldorado National Forest,,2013,FALSE,/incidents/2013/7/8/kyburz-fire/,,,El Dorado,9,,,,2013-07-11T18:30:00Z,,FALSE,TRUE,,,,38.774,"Off Hwy 50 at 30 Mile Tract, Kyburz",-120.298,FALSE,Kyburz Fire,100,,TRUE,The Kyburz Fire burned in July 2013 off Highway 50 at 30 Mile Tract in Kyburz on the El Dorado National Forest. ,"Kyburz Fire, July 2013, El Dorado National Forest, Highway 50, 30 Mile Tract, Kyburz, El Dorado County",2013-07-08T12:45:00Z,Finalized,,,,,
534,FALSE,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,,2013,TRUE,/incidents/2013/6/28/mills-fire/,Highway 38 is open. <p> Firefighters continue to build containment lines and mop up hot spots.,,San Bernardino,36,29,29,29,2013-07-01T06:00:00Z,,FALSE,TRUE,,29,,34.071556,"south of Highway 38 & Bryant Street, northwest of Yucaipa ",-117.048397,TRUE,Mills Fire,100,282,TRUE,"The Mills Fire burned in June and July 2013 south og Highway 38 and Bryant Street, northwest of Yucaipa in San Bernardino County. ","Mills Fire, June 2013, July 2013, Highway 38, Bryant Street, Yucaipa, San Bernardino County ",2013-06-28T14:30:00Z,Finalized,1,0,,,29
513,FALSE,Plumas National Forest,,2013,FALSE,/incidents/2013/8/18/plumas-lightning-complex-hough/,,,Plumas,32,,,,2013-08-25T13:15:00Z,,FALSE,TRUE,,,,40.00842,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,-120.764666,FALSE,Plumas Lightning Complex (Hough),100,,TRUE,The Plumas Lightning Complex burned in August 2013 in the Keddie Ridge/North Arm areas of Indian Valley near Taylorsville on the Plumas National Forest in Plumas County. ,"Plumas Lightning Complex, August 2013, Keddie Ridge, North Arm, Indian Valley, Taylorsville, Plumas County, Plumas National Forest",2013-08-18T18:30:00Z,Finalized,,,,,
510,FALSE,CAL FIRE/Riverside County Fire,,2013,TRUE,/incidents/2013/5/4/gorgonio-fire/,,,Riverside,33,,,,2013-05-05T18:45:00Z,,FALSE,TRUE,,,,33.894055,"Highway 243, south of Banning and north of Pine Cove",-116.855019,FALSE,Gorgonio Fire,100,,TRUE,"The Gorgonio Fire burned in May 2013 off Highway 243, south of Banning and north of Pine Cove, in Riverside County. ","Gorgonio Fire, May 2013, Banning, Highway 243, Riverside County, Pine Cove",2013-05-04T11:43:00Z,Finalized,,,,,
502,FALSE,CAL FIRE Lassen-Modoc Unit,,2013,TRUE,/incidents/2013/7/3/fox-fire-formally-3-7-fire/,,,Modoc,25,,,,2013-07-05T18:30:00Z,,FALSE,TRUE,,,,41.2415,5 miles northwest of Aiden,-121.035,FALSE,Fox Fire (formally 3-7 Fire),100,,TRUE,The Fox Fire (formerly known as 3-7 Fire) burned in July 2013 5 miles northwest of Aiden in Modoc County. ,"Fox Fire, 3-7 Fire, July 2013, Aiden, Modoc County",2013-07-03T22:56:00Z,Finalized,,,,,
500,FALSE,Los Padres National Forest,,2013,FALSE,/incidents/2013/6/1/branch-fire/,,,San Luis Obispo,40,,,,2013-06-03T18:30:00Z,,FALSE,TRUE,,,,35.15832,"west of the Carrizo Plain, Los Padres National Forest",-120.05131,FALSE,Branch Fire,100,,TRUE,The Branch Fire burned in June 2013 west of the Carrizo Plain on the Los Padres National Forest in San Luis Obispo County. ,"Branch Fire, June 2013, Los Padres National Forest, Carrizo Plain, San Luis Obispo County",2013-06-01T17:27:00Z,Finalized,,,,,
492,FALSE,CAL FIRE Santa Clara Unit,,2013,TRUE,/incidents/2013/7/1/kirker-fire/,,,Contra Costa,7,,,,2013-07-01T18:40:00Z,,FALSE,TRUE,,,,37.96866,Kirker Pass Road south of Pittsburg,-121.91453,FALSE,Kirker Fire,100,,TRUE,The Kirker Fire burned in July 2013 off Kirker Pass Road south of Pittsburg in Contra Costa County. ,"Kirker Fire, July 2013, Kirker Pass Road, Pittsburg, Contra Costa County",2013-07-01T13:19:00Z,Finalized,,,,,
482,FALSE,CAL FIRE Madera-Mariposa-Merced Unit,,2013,TRUE,/incidents/2013/6/16/rolling-fire/,,,Madera,20,,,,2013-06-18T19:30:00Z,,FALSE,TRUE,,,,37.015575,"off Hwy 41 & Road 145, northwest of Friant ",-119.78106,TRUE,Rolling Fire,100,,TRUE,"The Rolling Fire burned June 2013 off Highway 41 and Road 145, northwest of Friant, in Madera County. ","Rolling Fire, June 2013, Highway 41, Road 415, Friant, Madera County",2013-06-16T18:17:00Z,Finalized,,1,,,
413,FALSE,San Bernardino National Forest,,2013,FALSE,/incidents/2013/8/20/gobblers-fire/,,,San Bernardino,36,,,,2013-08-20T13:32:00Z,,FALSE,TRUE,,,,34.302,upper end of Lytle Creek,-117.598,FALSE,Gobblers Fire,100,,TRUE,"The Gobblers Fire burned in August 2013, on the upper end of Lytle Creek on the San Bernardino National Forest in San Bernardino County. ","Gobblers Fire, August 2013, Lytle Creek, San Bernardino National Forest, San Bernardino County",2013-08-20T13:32:00Z,Finalized,,,,,
406,FALSE,CAL FIRE San Bernardino Unit,,2013,TRUE,/incidents/2013/2/24/river-fire/,Gusty winds and thick bush are posing a challenge towards containment for firefighters. Full containment is expected on Thursday. ,,Inyo,14,25,25,25,2013-02-28T20:00:00Z,,FALSE,TRUE,,,2,36.602575,"south of Narrow Gauge Rd & north of Hwy 136, east of Lone Pine",-118.01651,TRUE,River Fire,100,476,TRUE,"The River Fire burned in February 2013, south of Narrow Gauge Rd & north of Highway 136, east of Lone Pine in Inyo County. ","River Fire, February 2013, Inyo County, Lone Pine",2013-02-24T08:16:00Z,Finalized,,0,,0,25
376,FALSE,CAL FIRE Sonoma-Lake-Napa Unit,,2013,TRUE,/incidents/2013/10/3/putah-fire/,,,Napa,28,,,1,2013-10-04T16:55:00Z,,FALSE,TRUE,,,,38.628,off Berryessa Knoxville Rd near Lake Berryessa,-122.289,TRUE,Putah Fire,100,4,TRUE,The Putah Fire burned October 2013 off Berryessa Knoxville Rd near Lake Berryessa in Napa County.,"Putah Fire, October 2013, Berryessa Knoxville Rd, Lake Berryessa, Napa, Napa County",2013-10-03T20:33:00Z,Finalized,,,,,
